date_time,members1,members2,members3,holiday,totalsales,nop
2020/4/18,2364,0,0,0,29727346.15,123642
2020/4/19,2354,0,0,0,27347348.7,120804
2020/4/20,2371,0,0,0,26510111.51,122101
2020/4/21,2336,0,0,0,26776226.99,121741
2020/4/22,2300,0,0,0,27970314.85,117837
2020/4/23,2301,0,0,0,28406697.65,116959
2020/4/24,2333,0,0,0,24335003.5,116870
2020/4/25,2419,0,0,0,23658175.0,119719
2020/4/26,2457,0,0,0,44753990.09,119852
2020/4/27,2466,0,0,0,44999416.59,119240
2020/4/28,2541,0,0,0,339818015.1,122975
2020/4/29,2623,0,0,0,338231191.6,129643
2020/4/30,2867,0,0,0,340126255.9,150891
2020/5/1,3013,0,0,1,339516057.1,167854
2020/5/2,3079,0,0,2,338564962.8,174255
2020/5/3,3105,0,0,3,319870571.0,181154
2020/5/4,3184,0,0,4,319991099.5,190263
2020/5/5,3328,0,0,5,24485113.64,211992
2020/5/6,3432,0,0,5,23980472.02,229104
2020/5/7,3372,0,0,5,21550955.82,234790
2020/5/8,3392,0,0,4,23138923.83,243045
2020/5/9,3535,0,0,3,23904936.63,261579
2020/5/10,3793,0,0,2,23792651.05,288206
2020/5/11,3939,0,0,1,23819402.1,314746
2020/5/12,4059,0,0,0,24336425.95,327677
2020/5/13,4166,0,0,0,28501389.8,342889
2020/5/14,4310,0,0,0,30119524.3,355214
2020/5/15,4386,0,0,0,30995667.96,369134
2020/5/16,4496,0,0,0,31739155.57,376052
2020/5/17,4538,0,0,0,31462770.54,376108
2020/5/18,4568,0,0,0,32232062.93,374932
2020/5/19,4609,0,0,0,35105694.98,381462
2020/5/20,4760,0,0,0,34238422.75,390978
2020/5/21,4876,0,0,0,36149073.38,395898
2020/5/22,5014,0,0,0,37011008.64,401082
2020/5/23,5052,0,0,0,36743358.11,401265
2020/5/24,5148,0,0,0,36309591.7,405054
2020/5/25,5330,0,0,0,37022085.56,413166
2020/5/26,5381,0,0,0,35566440.75,413664
2020/5/27,5437,0,0,0,35683778.8,416496
2020/5/28,5533,0,0,0,34862710.76,426711
2020/5/29,5849,0,0,0,34748529.9,443110
2020/5/30,6048,0,0,0,36476688.98,454603
2020/5/31,6134,0,0,0,39272926.06,462874
2020/6/1,6398,0,0,0,42517595.39,476449
2020/6/2,7859,0,1,0,43614083.64,493589
2020/6/3,8494,0,1,0,44013784.42,510265
2020/6/4,9312,0,1,0,44203224.94,524819
2020/6/5,10174,0,1,0,66339517.77,540472
2020/6/6,10960,0,1,0,65692572.3,551835
2020/6/7,11984,0,1,0,66338003.43,573478
2020/6/8,12485,0,1,0,264221393.9,590792
2020/6/9,12072,0,0,0,265568300.9,604343
2020/6/10,12535,0,0,0,266213765.1,623380
2020/6/11,12079,0,0,0,265879362.6,637320
2020/6/12,11596,0,0,0,247078911.8,651669
2020/6/13,11313,0,0,0,249877647.9,663674
2020/6/14,10741,0,0,0,252036958.2,661411
2020/6/15,10154,0,0,0,52200348.77,624981
2020/6/16,9123,0,0,0,48445143.24,573103
2020/6/17,7767,0,0,0,47120024.42,495755
2020/6/18,6835,0,0,0,49656188.48,409671
2020/6/19,5631,0,0,0,46774282.83,312222
2020/6/20,4433,0,0,0,43597341.19,237548
2020/6/21,3352,0,0,0,38973131.78,166034
2020/6/22,2660,0,0,0,36784172.63,119992
2020/6/23,2197,0,0,0,36762697.32,91342
2020/6/24,2043,0,0,0,37182611.18,81997
2020/6/25,2024,0,0,1,32484459.91,80896
2020/6/26,2091,0,0,2,33004063.2,80241
2020/6/27,2225,0,0,3,30604475.64,84797
2020/6/28,2263,0,0,3,35799999.28,86982
2020/6/29,2289,0,0,3,37162095.51,91422
2020/6/30,2319,0,0,3,46614730.41,93597
2020/7/1,2215,0,0,3,42225573.27,91798
2020/7/2,2243,0,0,2,40906460.17,95921
2020/7/3,2413,0,0,1,37109032.29,104798
2020/7/4,2453,0,0,0,36841417.67,108861
2020/7/5,2647,0,0,0,29494405.42,119602
2020/7/6,2802,0,0,0,28992742.56,130165
2020/7/7,2911,0,0,0,19826343.52,142679
2020/7/8,3109,0,0,0,20550649.03,158171
2020/7/9,3392,0,0,0,45762002.06,176709
2020/7/10,3458,0,0,0,56295857.98,198508
2020/7/11,3673,0,0,0,57366873.08,219465
2020/7/12,3795,0,0,0,59584431.26,241723
2020/7/13,3958,0,0,0,2721416403.0,264526
2020/7/14,4172,0,0,0,2730746088.0,287276
2020/7/15,4449,0,0,0,2731903244.0,312757
2020/7/16,4750,0,0,0,2709855074.0,339072
2020/7/17,5129,0,0,0,2702282526.0,365069
2020/7/18,5512,0,0,0,2701966774.0,386601
2020/7/19,5942,0,0,0,2701513490.0,407723
2020/7/20,6198,0,0,0,38079075.24,431261
2020/7/21,6557,0,0,0,450520962.3,456589
2020/7/22,6848,0,0,0,451726117.0,480373
2020/7/23,7090,0,0,0,459313633.5,504217
2020/7/24,7357,0,0,0,458095799.6,527979
2020/7/25,7756,0,0,0,459219644.9,548121
2020/7/26,7984,0,0,0,461927888.3,568002
2020/7/27,8282,0,0,0,462973163.1,583927
2020/7/28,8530,0,0,0,42665237.97,599724
2020/7/29,8690,0,0,0,42750867.4,613569
2020/7/30,9018,0,0,0,36165897.98,628133
2020/7/31,9381,0,0,0,38540041.09,638202
2020/8/1,9485,0,0,0,49045597.92,650044
2020/8/2,9654,0,0,0,47258428.5,661961
2020/8/3,10006,0,0,0,98219878.2,671323
2020/8/4,10381,0,0,0,99599626.39,672848
2020/8/5,11253,0,0,0,100633020.0,678161
2020/8/6,11638,0,0,0,100390279.0,681141
2020/8/7,12505,0,0,0,109706925.8,697608
2020/8/8,12965,0,0,0,104970305.2,707890
2020/8/9,13681,0,0,0,105813169.7,723668
2020/8/10,14192,0,0,0,284690585.1,740357
2020/8/11,14523,0,0,0,285189408.7,758296
2020/8/12,14643,0,0,0,284639689.0,741081
2020/8/13,14632,0,0,0,286661476.7,762579
2020/8/14,13966,0,0,0,276903106.7,776632
2020/8/15,14044,0,0,0,274273816.0,791881
2020/8/16,14063,0,0,0,273915768.9,800816
2020/8/17,13699,0,0,0,113116495.8,812123
2020/8/18,13680,0,0,0,111922079.5,818824
2020/8/19,13893,0,0,0,166405706.4,859565
2020/8/20,14366,0,0,0,165458695.6,867185
2020/8/21,14964,0,0,0,166124497.7,872786
2020/8/22,15084,0,0,0,164350584.1,874320
2020/8/23,15410,0,0,0,164077383.2,879284
2020/8/24,15736,0,0,0,98123223.58,883293
2020/8/25,15501,0,0,0,1576896990.0,885591
2020/8/26,15038,0,0,0,1524374695.0,889826
2020/8/27,14846,0,0,0,1525183559.0,882289
2020/8/28,14591,0,0,0,1568857145.0,872210
2020/8/29,14630,0,0,0,1568877087.0,869466
2020/8/30,14408,0,0,0,1574108386.0,860438
2020/8/31,14048,0,0,0,1574717298.0,848652
2020/9/1,13974,0,0,0,96266854.81,830044
2020/9/2,13787,0,0,0,94479504.58,814955
2020/9/3,13456,0,0,0,92638804.24,813283
2020/9/4,13589,0,0,0,48967621.27,820842
2020/9/5,13490,0,0,0,50100090.24,822277
2020/9/6,13511,0,0,0,53156846.23,830120
2020/9/7,13614,0,0,0,56208048.52,835987
2020/9/8,13759,0,0,0,56783144.86,849286
2020/9/9,14249,0,0,0,61276480.34,870010
2020/9/10,14839,0,0,0,63048629.21,885172
2020/9/11,14976,0,0,0,62035721.24,894196
2020/9/12,14996,0,0,0,62540368.9,903097
2020/9/13,15081,0,0,0,56061172.98,912089
2020/9/14,15301,0,0,0,53167560.47,924200
2020/9/15,15570,0,0,0,53280832.99,936329
2020/9/16,15302,0,0,0,50400070.63,945799
2020/9/17,15420,0,0,0,70280054.56,952791
2020/9/18,15509,0,0,0,74495419.71,958951
2020/9/19,13372,0,0,0,77598488.11,963285
2020/9/20,13834,0,0,0,79456585.31,968982
2020/9/21,0,0,0,0,79564595.07,973108
2020/9/22,0,0,0,0,89526836.46,979490
2020/9/23,11880,0,0,0,91154175.23,976654
2020/9/24,0,0,0,0,74056069.65,977418
2020/9/25,0,0,0,0,271091390.2,974444
2020/9/26,0,0,0,0,269041214.5,981170
2020/9/27,9825,0,0,0,267142804.5,977321
2020/9/28,0,0,0,0,1210978315.0,973772
2020/9/29,0,0,0,0,1208743395.0,976752
2020/9/30,7838,0,0,0,1211322786.0,981960
2020/10/1,5363,0,0,1,1209848616.0,988717
2020/10/2,0,0,0,2,1010109311.0,982253
2020/10/3,2881,0,0,3,1011143533.0,982949
2020/10/4,2879,0,0,4,1010399536.0,985874
2020/10/5,12,0,0,5,66816090.49,995879
2020/10/6,13,0,0,6,59643894.35,1003356
2020/10/7,11,0,0,7,56705902.5,1005063
2020/10/8,11,0,0,7,64907854.69,1009085
2020/10/9,10,0,0,6,319020994.3,1006481
2020/10/10,0,0,0,5,315095409.7,998716
2020/10/11,0,0,0,4,322755487.3,1002178
2020/10/12,0,0,0,3,321907327.1,999574
2020/10/13,0,0,0,2,321285789.1,986730
2020/10/14,0,0,0,1,321742806.6,981453
2020/10/15,0,0,0,0,316185339.0,975356
2020/10/16,0,0,0,0,64132976.07,994068
2020/10/17,0,0,0,0,67510810.79,1000385
2020/10/18,0,0,0,0,69611294.75,1002028
2020/10/19,1946,0,0,0,85233196.97,1006873
2020/10/20,3889,0,0,0,86613806.26,1019466
2020/10/21,5868,0,0,0,85906261.73,1025575
2020/10/22,7987,0,0,0,86951478.68,1026629
2020/10/23,10359,0,0,0,91890079.49,1029484
2020/10/24,12571,0,0,0,91702996.34,1025805
2020/10/25,15029,0,0,0,85191915.58,1022386
